Designator,Mid X,Mid Y,Rotation,Layer
C_AUDIO_10U,40.000mm,24.000mm,0.0,Top
C_AUDIO_BULK,44.000mm,24.000mm,0.0,Top
C_AUDIO_HF,36.000mm,25.500mm,0.0,Top
C_BUCK_IN,15.800mm,13.000mm,0.0,Top
C_BUCK_OUT,24.500mm,17.000mm,0.0,Top
C_NINA_BULK,41.000mm,20.000mm,0.0,Top
C_NINA_HF,37.500mm,20.000mm,0.0,Top
C_USB_RAW,10.500mm,9.500mm,0.0,Top
D1,31.800mm,5.100mm,0.0,Top
F1,11.000mm,13.500mm,0.0,Top
J1,3.450mm,21.000mm,270.0,Top
J2,20.000mm,3.250mm,180.0,Top
J3,44.300mm,34.500mm,90.0,Top
L1,20.000mm,17.000mm,0.0,Top
Q1,28.200mm,9.200mm,0.0,Top
R_BL_PU,28.200mm,12.000mm,0.0,Top
R_BL_SER,25.200mm,9.200mm,0.0,Top
R_CC1,6.000mm,12.500mm,0.0,Top
R_CC2,7.400mm,28.000mm,0.0,Top
R_GAIN,30.500mm,32.500mm,0.0,Top
R_LED_B,34.200mm,7.100mm,0.0,Top
R_LED_G,31.800mm,7.400mm,0.0,Top
R_LED_R,28.800mm,6.000mm,0.0,Top
R_PG,14.200mm,20.000mm,0.0,Top
R_SD,31.000mm,27.000mm,0.0,Top
R_SD_PD,31.000mm,29.000mm,0.0,Top
R_SH,9.000mm,25.300mm,0.0,Top
U1,44.750mm,11.000mm,0.0,Top
U2,16.000mm,17.000mm,0.0,Top
U3,10.000mm,23.000mm,0.0,Top
U4,36.000mm,29.000mm,0.0,Top
