Designator,Mid X,Mid Y,Rotation,Layer
C_BUCK_IN,13.000mm,10.000mm,0.0,Top
C_BUCK_OUT,21.000mm,11.000mm,0.0,Top
C_U1,37.000mm,18.000mm,0.0,Top
C_U3A,24.000mm,13.000mm,0.0,Top
C_U3B,27.000mm,13.000mm,0.0,Top
C_U4A,23.000mm,27.000mm,0.0,Top
C_U4B,27.000mm,27.000mm,0.0,Top
C_USB,10.000mm,12.000mm,0.0,Top
D1,9.000mm,32.000mm,0.0,Top
F1,10.000mm,14.000mm,0.0,Top
J1,3.000mm,19.000mm,270.0,Top
J2,25.000mm,39.500mm,0.0,Top
L1,19.250mm,14.000mm,0.0,Top
Q1,15.000mm,31.000mm,0.0,Top
R_CC1,4.000mm,13.000mm,0.0,Top
R_CC2,4.000mm,25.000mm,0.0,Top
R_GATE,19.000mm,31.000mm,0.0,Top
R_GATE_PD,17.000mm,34.000mm,0.0,Top
R_OPTO,29.500mm,31.000mm,0.0,Top
R_PG,17.000mm,18.000mm,0.0,Top
R_PWM,29.000mm,19.000mm,0.0,Top
R_PWM_PD,21.000mm,21.000mm,0.0,Top
R_RX_PD,29.000mm,24.000mm,0.0,Top
R_TX,29.000mm,16.000mm,0.0,Top
R_TX_PD,21.000mm,18.000mm,0.0,Top
U1,42.250mm,11.000mm,270.0,Top
U2,15.000mm,14.000mm,0.0,Top
U3,25.000mm,16.000mm,0.0,Top
U4,25.000mm,24.000mm,0.0,Top
U5,35.000mm,31.000mm,0.0,Top
U6,10.000mm,19.000mm,0.0,Top
