Designator,Mid X,Mid Y,Rotation,Layer
C_BAT,4.600mm,49.000mm,180.0,Top
C_BUCK_IN,6.200mm,26.600mm,90.0,Top
C_BUCK_OUT,5.800mm,33.500mm,270.0,Top
C_CHG_IN,11.700mm,46.000mm,0.0,Top
C_HAPTIC_REG,13.200mm,20.000mm,0.0,Top
C_HAPTIC_VDD,12.800mm,22.000mm,0.0,Top
C_IMU_IO,3.800mm,21.000mm,0.0,Top
C_IMU_VDD,1.300mm,21.000mm,0.0,Top
C_SYS,3.300mm,46.000mm,180.0,Top
C_USB,1.800mm,41.000mm,0.0,Top
F1,2.600mm,38.000mm,0.0,Top
J1,12.250mm,38.000mm,90.0,Top
J2,3.300mm,57.000mm,0.0,Top
J3,3.000mm,72.000mm,0.0,Top
L1,11.500mm,29.800mm,270.0,Top
R_ARM,13.000mm,62.000mm,0.0,Top
R_ARM_SER,12.500mm,59.000mm,0.0,Top
R_CC1,2.000mm,35.000mm,0.0,Top
R_CC2,2.000mm,43.000mm,0.0,Top
R_CFG1,4.000mm,29.500mm,180.0,Top
R_CFG2,1.200mm,31.500mm,0.0,Top
R_CFG3,3.600mm,31.400mm,180.0,Top
R_HAPTIC_EN,10.700mm,20.000mm,0.0,Top
R_I2C_SCL,1.200mm,29.500mm,0.0,Top
R_I2C_SDA,2.000mm,27.200mm,0.0,Top
R_ILIM,11.400mm,49.700mm,0.0,Top
R_ISET,9.300mm,48.500mm,270.0,Top
R_STAT1,13.500mm,48.500mm,180.0,Top
R_STAT2,5.000mm,43.200mm,0.0,Top
SW1,7.500mm,64.500mm,90.0,Top
U1,7.500mm,10.500mm,0.0,Top
U2,3.000mm,25.000mm,0.0,Top
U3,7.500mm,46.000mm,0.0,Top
U4,7.500mm,30.000mm,0.0,Top
U5,11.500mm,25.000mm,0.0,Top
U6,6.150mm,38.000mm,0.0,Top
